Td    ID    Tj    Df    Dd    Db
361    2851    213    0    148    148
362    2766    192    2    168    170
362    2539    135    0    227    227
362    2731    183    0    179    179
362    2855    214    0    148    148
362    2983    246    0    116    116
362    2859    215    0    147    147
363    2330    83    1    279    280
363    2863    216    0    147    147
363    2867    217    0    146    146
364    2991    248    0    116    116
364    2871    218    0    146    146
365    2875    219    0    146    146
366    3011    253    0    113    113
366    2647    162    0    204    204
366    2751    188    0    178    178
367    2555    139    0    228    228
367    2999    250    0    117    117
367    2879    220    0    147    147
368    2891    223    0    145    145
369    3050    263    0    106    106
369    3023    256    0    113    113
369    90    23    25    321    346
369    82    21    25    323    348
369    74    19    25    325    350
369    430    108    236    25    261
369    110    28    43    298    341
369    313    79    0    290    290
369    317    80    0    289    289
369    369    93    0    276    276
369    377    95    0    274    274
370    2903    226    0    144    144
370    2775    194    0    176    176
371    2899    225    0    146    146
371    3047    262    0    109    109
372    3082    271    0    101    101
372    2778    195    4    173    177
372    2791    198    0    174    174
373    2583    146    0    227    227
373    2915    229    0    144    144
374    2290    73    0    301    301
374    2807    202    0    172    172
375    2935    234    0    141    141
377    2975    244    0    133    133
378    2942    236    0    142    142
378    3087    272    0    106    106
378    3003    251    0    127    127
378    2747    187    0    191    191
378    2967    242    0    136    136
379    3015    254    0    125    125
379    2763    191    0    188    188
379    3007    252    0    127    127
380    2963    241    0    139    139
380    3039    260    0    120    120
381    3055    264    0    117    117
381    3035    259    0    122    122
381    3063    266    0    115    115
381    3071    268    0    113    113
381    2779    195    0    186    186
382    2076    20    291    71    362
382    2919    230    0    152    152
382    3031    258    0    124    124
383    2278    70    0    313    313
383    2839    210    0    173    173
383    3067    267    0    116    116
384    2518    130    2    252    254
384    3098    275    0    109    109
384    3079    270    0    114    114
384    3099    275    0    109    109
384    3083    271    0    113    113
385    2085    22    330    33    363
385    2971    243    0    142    142
385    2987    247    0    138    138
385    2951    238    0    147    147
390    2726    182    0    208    208
391    2502    126    1    264    265
391    2794    199    2    190    192
391    2302    76    1    314    315
392    2089    23    338    31    369
392    2890    223    1    168    169
393    2080    21    301    71    372
398    2686    172    2    224    226
398    2818    205    2    191    193
398    2578    145    2    251    253
399    2370    93    2    304    306
402    458    115    245    42    287
402    442    111    248    43    291
402    446    112    247    43    290
402    466    117    253    32    285
403    2814    204    2    197    199
404    2866    217    2    185    187
405    2530    133    0    272    272
408    2586    147    2    259    261
408    2550    138    1    269    270
408    450    113    247    48    295
408    454    114    246    48    294
408    462    116    254    38    292
408    438    110    248    50    298
408    357    90    0    318    318
408    305    77    0    331    331
411    2754    189    2    220    222
414    2062    16    0    398    398
415    2562    141    2    272    274
416    2346    87    1    328    329
417    2084    22    328    67    395
418    2093    24    362    32    394
419    2088    23    331    65    396
419    2922    231    2    186    188
426    2097    25    369    32    401
428    2662    166    1    261    262
434    2862    216    2    216    218
436    2406    102    0    334    334
436    498    125    279    32    311
436    474    119    282    35    317
436    478    120    282    34    316
439    494    124    280    35    315
439    482    121    282    36    318
439    486    122    281    36    317
439    490    123    280    36    316
439    293    74    0    365    365
439    285    72    0    367    367
439    289    73    0    366    366
439    297    75    0    364    364
440    2606    152    2    286    288
443    2642    161    2    280    282
448    2101    26    393    29    422
450    2614    154    2    294    296
451    2092    24    359    68    427
454    2626    157    1    296    297
455    2574    144    1    310    311
458    2096    25    368    65    433
458    2105    27    400    31    431
461    2078    20    0    441    441
464    530    133    305    26    331
464    502    126    287    51    338
464    506    127    287    50    337
464    534    134    304    26    330
466    2630    158    1    307    308
467    2678    170    3    294    297
467    2690    173    2    292    294
468    2658    165    3    300    303
469    2786    197    1    271    272
474    514    129    307    38    345
474    518    130    307    37    344
474    510    128    306    40    346
474    522    131    307    36    343
474    526    132    306    36    342
474    309    78    0    396    396
474    277    70    0    404    404
474    273    69    0    405    405
475    2666    167    2    306    308
480    2674    169    1    310    311
486    2694    174    0    312    312
487    2109    28    424    35    459
487    2638    160    2    325    327
487    2894    224    2    261    263
492    2113    29    430    33    463
494    2100    26    392    76    468
494    2250    63    2    429    431
498    2886    222    3    273    276
498    2698    175    0    323    323
498    2742    186    2    310    312
498    2430    108    0    390    390
====================================
Battle_result: Draw
====================================
For Earth army:
Total Es: 275
Total Et: 275
Total Eg: 275
Total healed units percentage: 12 %
percentage of destructed Es: 43.2727 %
percentage of destructed Et: 20.3636 %
percentage of destructed Eg: 0 %
percentage of total destructed units: 21.2121 %
Average Df: 90.6114
Average Dd: 84.16
Average Db: 174.771
Df//Db: 0.518457
Dd/Db: 0.481543
====================================
For Alien army:
Total As: 550
Total Am: 275
Total Ad: 275
percentage of destructed As: 10 %
percentage of destructed Am: 45.8182 %
percentage of destructed Ad: 100 %
percentage of total destructed units: 41.4545 %
Average Df: 24.0241
Average Dd: 117.789
Average Db: 141.814
Df//Db: 0.169406
Dd/Db: 0.830594
